,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
Seg_size,8950.0,794.0,1119.0,7037.0,6145.0,1631.0,781.0,393.0,5639.0,1570.0,715.0,374.0,652.0,642.0,1390.0,590.0,5413.0,201.0,714.0,4961.0,224.0,578.0,707.0,1363.0,919.0,198.0,4291.0,194.0,225.0,524.0,804.0,704.0,879.0,1329.0
Seg_Pct,1.0,0.08871508379888268,0.12502793296089385,0.7862569832402234,0.6865921787709497,0.18223463687150837,0.08726256983240223,0.04391061452513966,0.6300558659217877,0.17541899441340783,0.07988826815642458,0.041787709497206706,0.07284916201117318,0.071731843575419,0.1553072625698324,0.0659217877094972,0.604804469273743,0.022458100558659218,0.07977653631284916,0.5543016759776537,0.025027932960893853,0.06458100558659217,0.07899441340782123,0.1522905027932961,0.10268156424581006,0.02212290502793296,0.4794413407821229,0.021675977653631284,0.025139664804469275,0.05854748603351955,0.08983240223463687,0.07865921787709497,0.0982122905027933,0.14849162011173184
BALANCE,1541.0467067617985,1199.6536923535527,2318.4321011885595,1455.9496195195877,1450.4782384986445,1662.6669152796906,1187.555459136646,3154.9330726132275,1204.9599673099128,1581.3240452115765,940.0411771268814,3117.2476054358253,4105.736154595994,4123.71562524858,1396.9762012238684,2263.6427704355906,1204.2221403557367,3374.2984674378145,939.6470618343417,995.8643526112895,4139.002979377635,2286.2899596868488,932.4562227690523,1367.4562503126754,3719.869404813929,3341.5318506868716,978.9843775977287,3367.9345204845395,4111.248977069289,2351.5491447919817,1321.0075097818287,934.3284095052841,3743.555185922641,1332.1909300062878
BALANCE_FREQUENCY,0.8780833200000044,0.7937029659949619,0.973474708668453,0.872435321870119,0.8595769028478465,0.9640276345800104,0.7921185646606914,0.9816080788804064,0.8558819365135665,0.9639617707006352,0.785651882517483,0.9826183074866304,0.9047042193251531,0.9033614641744544,0.9543285604316527,0.9742223254237282,0.8533110615185668,0.9844075174129352,0.7853516750700285,0.8461673870187459,0.8702875535714284,0.974630840830449,0.7849001824611038,0.9542975832721916,0.9273452916213258,0.9841712676767675,0.8370733735725933,0.9838449020618556,0.8708640533333332,0.9744313530534343,0.9714225746268647,0.7845162343750005,0.927441672354947,0.9187412392776506
PURCHASES,936.2292368715101,381.84265743073087,4059.0037176050073,502.20881625692766,376.9223270951984,1996.8795892090761,374.28467349551875,6396.5318829516655,388.0561713069674,2031.6738662420405,386.27931468531466,6520.740026737982,439.1540950920244,421.85361370716515,1486.7526474820133,3810.9614406779683,361.87276741178505,7758.243681592051,385.3556722689074,382.62181213464885,778.9614732142857,3823.7191003460234,385.81468175388983,1503.1650403521637,250.92627856365598,7799.4023737373855,248.49923560941554,7846.965000000013,789.242,3981.873702290079,1461.1813557213945,382.1667329545455,229.88524459613177,1415.08250564334
ONEOFF_PURCHASES,536.4937740782138,214.8888413098237,2714.4793994638076,226.44523092226737,130.49599023596454,1309.5045370938074,207.77400768245826,4329.893175572519,132.4399343855298,1334.0818089171976,212.86868531468517,4427.0405294117645,233.69291411042937,226.11936137071652,1017.9435539568341,2358.996271186443,108.5247958618146,5527.436308457715,211.82337535013994,112.42622253577959,421.5398214285714,2379.6893079584797,212.68448373408765,1032.4538224504763,127.69965179542983,5550.651404040409,70.7748380330925,5574.038804123718,425.8849777777777,2507.190152671758,1137.6259950248755,208.76112215909086,119.7238680318544,632.1390142964638
INSTALLMENTS_PURCHASES,384.4983681564239,167.33164987405536,1222.8001970509386,275.6978321017472,246.59268218063426,678.6949411404051,166.89478873239437,1752.2953791348602,255.82247942897635,688.4288337579621,173.8302097902098,1763.3868556149732,205.59644248466253,195.87162071651093,467.9816201438845,1350.850178813559,253.46773729909398,1849.7106218905494,173.9524649859944,270.31926869582685,334.788575892857,1349.6235726643597,173.5545261669024,469.8673528980186,123.33725788900978,1861.8800252525273,178.0012141691917,1878.0785309278372,340.8245377777776,1378.4050066793895,323.55536069651777,173.83174715909092,110.27704209328783,778.548250940557
CASH_ADVANCE,935.9209721677079,1616.0519493428214,744.2482774536192,889.6594615108976,948.2882220642128,566.1467500885338,1605.6527498133164,946.2122883404579,530.9051417469404,399.57464474777026,1137.9956156528658,751.1798387048126,5614.6906280193325,5636.366092388793,367.98461323453216,551.3309872101695,539.8151117118047,930.1206537542289,1137.518660555741,322.05160807095336,6717.8815488437585,537.9081176937715,1124.797946066194,337.31567461335277,3857.6173794528827,822.9016677222223,348.74532149615476,836.941022329897,6747.254513283563,530.9227874408398,394.47333899502456,1129.131705718465,3913.807851825255,277.6687545440179
PURCHASES_FREQUENCY,0.4903505483798885,0.40445817254408045,0.9177925522788194,0.43207158632940335,0.3765983454841353,0.8540693721643158,0.40457506017925726,0.9299753358778631,0.39364139404149856,0.8587497751592348,0.42683150069930065,0.9324339786096261,0.25573866411042967,0.24816969314641774,0.7986981496402865,0.9268785491525423,0.3845372024755236,0.92770239800995,0.42618436134453774,0.40886304918363403,0.30550125,0.9276672629757784,0.42806627439886846,0.8012802435803366,0.192569300326442,0.9287113535353534,0.35558707131205014,0.9272414845360822,0.3104060933333333,0.9255629007633589,0.8795203383084579,0.4261617272727273,0.18241456313993193,0.7227972136945063
ONEOFF_PURCHASES_FREQUENCY,0.20245768357542138,0.11412540806045345,0.7246126309204646,0.12939308796362292,0.0649014584214804,0.6303700085836914,0.10985419846350833,0.7614432391857511,0.06670182638765697,0.6370084006369428,0.11263734825174829,0.7736428609625671,0.10104807668711673,0.09543568535825567,0.5864779215827337,0.6739118254237288,0.054350595972658684,0.8151515273631837,0.11186139635854345,0.0569007542834111,0.13333345535714283,0.6783350761245674,0.11324396322489395,0.5920650146735142,0.06388143307943436,0.8182430505050502,0.044102481938942416,0.8179319123711337,0.1352997822222222,0.6820854427480915,0.7969775572139306,0.10999784375000005,0.061238056882821565,0.22888022121896187
