,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5
BALANCE,0.17908276718192767,0.4553889585535006,-0.04850801643564348,0.6272228604460744,0.05039892522068845
BALANCE_FREQUENCY,0.10857286509894072,0.05850200283154454,0.2418098947896735,0.5256173386638943,-0.046085995090565574
PURCHASES,0.9184827420821573,-0.06426405237708596,0.2590561526507111,0.04582656711654286,0.2806539497144221
ONEOFF_PURCHASES,0.9758865552790714,-0.058291873967322334,0.06632098683759911,0.024747516984370683,-0.11994607273899627
INSTALLMENTS_PURCHASES,0.39856010185172785,-0.04949821954673919,0.48248891253335846,0.04863239742130221,0.753216019425261
CASH_ADVANCE,-0.005173610156275359,0.9816735455959573,-0.10447834139469045,0.14239947557762217,-0.010615167864343852
PURCHASES_FREQUENCY,0.2832273548915947,-0.14747636183247548,0.9438298218238782,-0.03709272600354803,-0.02916225892068436
ONEOFF_PURCHASES_FREQUENCY,0.6417423691374861,-0.07460244104723462,0.3169704739381116,0.016990605546311974,-0.2409752901092726
PURCHASES_INSTALLMENTS_FREQUENCY,0.1164823642485547,-0.11386652545832311,0.8674570806888607,-0.015645688127882522,0.2211958247611655
CASH_ADVANCE_FREQUENCY,-0.06702820344834041,0.6281014708005396,-0.2005688009590412,0.33835344485285673,-0.03567871766534116
CASH_ADVANCE_TRX,-0.031653460739142485,0.6683343637236852,-0.1281938016654388,0.2875437067545672,-0.026390646674345014
PURCHASES_TRX,0.6262784820148288,-0.07043352885757578,0.494042301033676,0.09559415753160938,0.24046344252606244
CREDIT_LIMIT,0.37487536520855963,0.32926696933426186,0.06902017067645057,0.0013606408747703685,0.08981632158492295
PAYMENTS,0.5355858335148175,0.43372551405161697,0.043214627643418484,0.04214923782562259,0.20142218683396587
MINIMUM_PAYMENTS,0.0806890849180774,0.18481280975881212,0.031017697944078416,0.5602944271455992,0.12116303009097847
PRC_FULL_PAYMENT,0.14645475282364612,-0.08924417083897196,0.24966754007816588,-0.44938909855428066,0.06785722086369474
TENURE,0.060015097866869455,-0.11003571660567481,0.036966764193832664,0.10033940862237639,0.05153924955001273
MONTHLY_AVG_PURCHASE,0.9190102780983026,-0.058941916329439875,0.2598986339587933,0.04167643161509359,0.27279006970563496
MONTHLY_CASH_ADVANCE,-0.007020740174874878,0.9719920262999873,-0.105280800265412,0.12791110986915252,-0.013042493967857467
LIMIT_USAGE,-0.07415008911279367,0.12279683975116452,-0.15989724534712593,0.8641981575159227,-0.025308036971095463
PURCHASE_TYPE,0.28625328798185345,-0.16376303129082193,0.7083233872876575,-0.07259701842500664,0.059997555244186485
